Incident ID,Incident Date,State,City Or County,Address,Complete_Address,School name,Coordinates,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2618358,2023-06-06T00:00:00Z,Virginia,Richmond,6 N Laurel St,"6 N Laurel St,Richmond,Virginia",,"37.546203,-77.45210827844602",2,5,0,0,1
2617560,2023-06-05T00:00:00Z,Mississippi,Jackson,440 N Mill St,"440 N Mill St,Jackson,Mississippi",,"32.30505583673469,-90.19076342857143",0,5,0,0,0
2616439,2023-06-04T00:00:00Z,Texas,Sunnyvale,201 Planters Rd,"201 Planters Rd,Sunnyvale,Texas",,"32.784031,-96.57658",1,4,0,0,1
2615978,2023-06-04T00:00:00Z,Illinois,Chicago,4800  W Iowa St,"4800  W Iowa St,Chicago,Illinois",,"41.896941,-87.746029",1,6,0,0,0
2616015,2023-06-04T00:00:00Z,Missouri,Columbia,2600  Oakbrook Dr,"2600  Oakbrook Dr,Columbia,Missouri",,"39.01508779137267,-92.29847026972479",2,4,0,0,0
2615518,2023-06-02T00:00:00Z,Tennessee,Memphis,4600  Mill Stream Dr,"4600  Mill Stream Dr,Memphis,Tennessee",,"35.022414,-90.009578",0,4,0,0,0
2614735,2023-06-02T00:00:00Z,Texas,San Antonio,5100  Eisenhauer Rd,"5100  Eisenhauer Rd,San Antonio,Texas",,"29.496457,-98.387987",1,3,0,0,0
2614353,2023-05-31T00:00:00Z,Ohio,Cleveland,400  E 123rd St,"400  E 123rd St,Cleveland,Ohio",,"41.546485,-81.600042",1,3,0,0,0
2613087,2023-05-31T00:00:00Z,North Carolina,Fayetteville,700  Rembrandt Dr,"700  Rembrandt Dr,Fayetteville,North Carolina",,"35.051878,-79.041994",2,2,0,0,2
2613375,2023-05-31T00:00:00Z,Ohio,Cincinnati,73 E McMicken Ave,"73 E McMicken Ave,Cincinnati,Ohio",,"39.11543023809524,-84.5154938095238",0,4,0,0,0
2612967,2023-05-30T00:00:00Z,Pennsylvania,Lebanon,400  N 5th St,"400  N 5th St,Lebanon,Pennsylvania",,"40.345992,-76.419764",3,1,0,0,3
2612882,2023-05-30T00:00:00Z,Illinois,Chicago,7059 S Halsted St,"7059 S Halsted St,Chicago,Illinois",,"41.76596677521923,-87.64432193001925",1,3,0,0,0
2611781,2023-05-29T00:00:00Z,South Carolina,Hollywood,5000  Storage Rd,"5000  Storage Rd,Hollywood,South Carolina",,"32.71295,-80.299198",1,5,0,0,0
2611877,2023-05-29T00:00:00Z,New York,Syracuse,400  Bellevue Ave,"400  Bellevue Ave,Syracuse,New York",,"43.033494,-76.16023",1,3,0,0,1
2611011,2023-05-28T00:00:00Z,Pennsylvania,Philadelphia,4500  Mulberry St,"4500  Mulberry St,Philadelphia,Pennsylvania",,"40.011635049999995,-75.08373823152488",1,3,0,0,0
2610339,2023-05-28T00:00:00Z,Pennsylvania,Harrisburg,1000  N 3rd St,"1000  N 3rd St,Harrisburg,Pennsylvania",,"40.26739905,-76.88766867728215",0,4,0,0,0
2610231,2023-05-28T00:00:00Z,Tennessee,Memphis,400  Deerskin Dr,"400  Deerskin Dr,Memphis,Tennessee",,"35.048228,-90.078868",0,4,0,0,0
2610153,2023-05-27T00:00:00Z,Ohio,Cleveland,17426 Harvard Ave,"17426 Harvard Ave,Cleveland,Ohio",,"41.449732818181815,-81.55783036363637",0,4,0,0,0
2610514,2023-05-27T00:00:00Z,California,Moreno Valley,24800  Evening Shadow Ct,"24800  Evening Shadow Ct,Moreno Valley,California",,"33.965189,-117.229882",0,4,0,0,0
2610746,2023-05-27T00:00:00Z,Arkansas,Marianna,382 W Chestnut St,"382 W Chestnut St,Marianna,Arkansas",,"34.77462368349092,-90.76776221280105",1,4,0,0,0
2609789,2023-05-27T00:00:00Z,New Mexico,Red River,400 E Main St,"400 E Main St,Red River,New Mexico",,"36.7092205,-105.4081586",3,4,0,1,1
2609601,2023-05-27T00:00:00Z,Illinois,Chicago,7900  S Ashland Ave,"7900  S Ashland Ave,Chicago,Illinois",,"41.750231,-87.663542",1,3,0,0,0
2608830,2023-05-26T00:00:00Z,Virginia,Woodbridge,14723 Birchdale Ave,"14723 Birchdale Ave,Woodbridge,Virginia",,"38.63133175,-77.3106233",3,1,0,0,1
2609761,2023-05-26T00:00:00Z,Arizona,Mesa,Alma School Rd and Main St,"Alma School Rd and Main St,Mesa,Arizona",,"33.4153969,-111.856418",4,1,0,0,1
2609992,2023-05-26T00:00:00Z,Mississippi,Columbus,2118 Hwy 45 N,"2118 Hwy 45 N,Columbus,Mississippi",,"33.5190583,-88.4350685",1,4,0,0,1
2608556,2023-05-26T00:00:00Z,Georgia,Brunswick,100  Wasp Dr,"100  Wasp Dr,Brunswick,Georgia",,"31.224327,-81.476201",0,5,0,0,0
2608239,2023-05-25T00:00:00Z,Maryland,Baltimore,3300  Ramona Ave,"3300  Ramona Ave,Baltimore,Maryland",,"39.32372255,-76.56407579152653",0,4,0,0,0
2606213,2023-05-23T00:00:00Z,Indiana,Columbus,2201 Lincoln Park Dr,"2201 Lincoln Park Dr,Columbus,Indiana",,"39.2186775,-85.8978167",0,4,0,0,2
2605897,2023-05-22T00:00:00Z,Tennessee,Columbia,Beech St,"Beech St,Columbia,Tennessee",,"35.5947398,-87.0329082",1,4,0,0,2
2603680,2023-05-21T00:00:00Z,Missouri,Kansas City,4244 Indiana Ave,"4244 Indiana Ave,Kansas City,Missouri",,"39.048928,-94.54480372727274",3,2,0,0,1
2605709,2023-05-21T00:00:00Z,Mississippi,Jonestown,MS-316,"MS-316,Jonestown,Mississippi",,"34.320058,-90.4483",0,4,0,0,0
2603241,2023-05-20T00:00:00Z,California,Los Angeles,1010 Wilshire Blvd,"1010 Wilshire Blvd,Los Angeles,California",,"34.051508444444444,-118.26173227777778",0,4,0,0,0
